,tag_name
321,PUNCT
322,PUNCT
323,VERB
324,NOUN
325,NOUN
326,SCONJ
327,NOUN
328,PART
329,VERB
330,ADV
331,NUM
332,NOUN
333,ADP
334,NOUN
335,PROPN
336,PROPN
337,ADP
338,NOUN
339,NOUN
340,PUNCT
341,VERB
342,NOUN
343,ADJ
344,NOUN
345,SCONJ
346,NOUN
347,VERB
348,NOUN
349,ADP
350,PRON
351,ADP
352,NOUN
353,PROPN
354,ADJ
355,PUNCT
356,ADV
357,NOUN
358,NOUN
359,ADV
360,ADP
361,NOUN
362,CCONJ
363,NOUN
364,PRON
365,ADJ
366,PUNCT
367,PART
368,VERB
369,PRON
370,NOUN
371,ADP
372,NOUN
373,ADP
374,NOUN
375,NOUN
376,PUNCT
377,NUM
378,ADP
379,NUM
380,ADV
381,ADP
382,NOUN
383,NOUN
384,VERB
385,ADV
386,NOUN
387,ADV
388,NUM
389,ADP
390,NOUN
391,NOUN
392,PUNCT
393,CCONJ
394,VERB
395,SCONJ
396,PRON
397,ADP
398,NOUN
399,ADP
400,VERB
401,ADV
402,PRON
403,ADV
404,PUNCT
405,PART
406,AUX
407,PUNCT
408,NOUN
409,PUNCT
410,NOUN
411,ADJ
412,PUNCT
413,PART
414,SCONJ
415,PRON
416,PART
417,VERB
418,NOUN
419,PRON
420,ADV
421,PUNCT
422,VERB
423,PROPN
424,PUNCT
425,PUNCT
426,VERB
427,NOUN
428,ADP
429,NOUN
430,ADJ
431,ADP
432,VERB
433,NOUN
434,NOUN
435,ADP
436,NOUN
437,ADJ
438,ADP
439,NOUN
440,ADP
441,PRON
442,ADP
443,PRON
444,NOUN
445,PUNCT
446,PUNCT
447,VERB
448,NOUN
449,PROPN
450,SCONJ
451,PRON
452,VERB
453,NOUN
454,NOUN
455,SCONJ
456,ADP
457,PRON
458,NOUN
459,NOUN
460,PUNCT
461,VERB
462,ADP
463,PRON
464,NOUN
465,ADV
466,ADP
467,NOUN
468,NOUN
469,NOUN
470,PRON
471,ADJ
472,NOUN
473,PUNCT
474,VERB
475,NOUN
476,SCONJ
477,NOUN
478,VERB
479,PROPN
480,PROPN
481,ADJ
482,ADP
483,ADP
484,NOUN
485,NOUN
486,PRON
487,ADP
488,NOUN
489,ADJ
490,ADP
491,NOUN
492,NOUN
493,PRON
494,ADP
495,ADP
496,VERB
497,NOUN
498,NOUN
499,NOUN
500,ADP
501,NOUN
502,PRON
503,PUNCT
504,PART
505,VERB
506,NOUN
507,ADP
508,DET
509,NOUN
510,PUNCT
511,VERB
512,ADP
513,NOUN
514,AUX
515,VERB
516,PUNCT
517,VERB
518,ADJ
519,NOUN
520,ADP
521,NOUN
522,PUNCT
523,CCONJ
524,VERB
525,PRON
526,DET
527,NOUN
528,PRON
529,PUNCT
530,VERB
531,NOUN
532,PROPN
533,NOUN
534,ADP
535,NOUN
536,ADJ
537,ADJ
538,ADP
539,ADP
540,VERB
541,ADP
542,NOUN
543,PRON
544,ADP
545,PROPN
546,PUNCT
547,VERB
548,PROPN
549,PROPN
550,SCONJ
551,NOUN
552,NOUN
553,ADP
554,NOUN
555,NOUN
556,PART
557,VERB
558,ADP
559,NOUN
560,NOUN
561,ADJ
562,CCONJ
563,NOUN
564,NOUN
565,NOUN
566,ADJ
567,ADP
568,NOUN
569,NUM
570,PUNCT
571,VERB
572,NOUN
573,PROPN
574,ADJ
575,ADP
576,NOUN
577,NOUN
578,ADJ
579,ADP
580,NOUN
581,NOUN
582,NOUN
583,ADP
584,PROPN
585,PROPN
586,ADP
587,NOUN
588,NOUN
589,PROPN
590,ADV
591,NUM
592,PUNCT
593,PART
594,VERB
595,PRON
596,ADP
597,ADJ
598,NOUN
599,PRON
600,ADP
601,AUX
602,NOUN
603,NOUN
604,ADJ
605,ADJ
606,ADV
607,ADP
608,NOUN
609,PUNCT
610,VERB
611,NOUN
612,ADJ
613,ADP
614,NOUN
615,SCONJ
616,NOUN
617,VERB
618,ADP
619,NOUN
620,NOUN
621,ADP
622,NOUN
623,PUNCT
624,CCONJ
625,VERB
626,NOUN
627,PRON
628,ADJ
629,ADP
630,VERB
631,NOUN
632,NOUN
633,NOUN
634,ADJ
635,PUNCT
636,VERB
637,NOUN
638,ADP
639,NOUN
640,SCONJ
641,PROPN
642,ADP
643,NOUN
644,ADJ
645,ADP
646,NOUN
647,ADP
648,NOUN
649,PROPN
650,PUNCT
651,VERB
652,NOUN
653,PUNCT
654,PROPN
655,NUM
656,PUNCT
657,NOUN
658,NOUN
659,ADJ
660,ADJ
661,ADP
662,PUNCT
663,PROPN
664,PROPN
665,PUNCT
666,CCONJ
667,PUNCT
668,PROPN
669,PUNCT
670,ADJ
671,ADP
672,PROPN
673,PUNCT
674,PART
675,DET
676,NOUN
677,NOUN
678,VERB
679,ADP
680,SCONJ
681,NOUN
682,ADP
683,NOUN
684,NOUN
685,AUX
686,PART
687,VERB
688,ADP
689,PRON
690,CCONJ
691,VERB
692,ADP
693,NOUN
694,ADP
695,VERB
696,ADP
697,NOUN
698,NOUN
699,ADP
700,NOUN
701,NOUN
702,PUNCT
703,PART
704,PART
705,VERB
706,NOUN
707,SCONJ
708,NOUN
709,ADJ
710,ADJ
711,CCONJ
712,NOUN
713,NOUN
714,ADJ
715,ADJ
716,PUNCT
717,PROPN
718,PROPN
719,PROPN
720,PUNCT
721,VERB
722,NOUN
723,CCONJ
724,NOUN
725,NOUN
726,VERB
727,NOUN
728,ADP
729,PRON
730,DET
731,NOUN
732,PUNCT
733,VERB
734,NOUN
735,ADP
736,PROPN
737,PROPN
738,PROPN
739,ADP
740,ADP
741,NOUN
742,VERB
743,ADP
744,NOUN
745,DET
746,NOUN
747,NOUN
748,ADP
749,NOUN
750,PART
751,ADP
752,AUX
753,PART
754,VERB
755,NOUN
756,ADP
757,NOUN
758,NOUN
759,PUNCT
760,PART
761,VERB
762,DET
763,NOUN
764,SCONJ
765,PUNCT
766,NOUN
767,PUNCT
768,ADP
769,NOUN
770,ADJ
771,NOUN
772,ADP
773,NOUN
774,ADP
775,NOUN
776,NOUN
777,ADJ
778,ADP
779,NOUN
780,PUNCT
781,ADV
782,AUX
783,ADJ
784,ADP
785,NOUN
786,ADJ
787,PUNCT
788,VERB
789,NOUN
790,NOUN
791,PRON
792,ADP
793,ADP
794,NOUN
795,NOUN
796,CCONJ
797,NOUN
798,PUNCT
799,PART
800,VERB
801,NOUN
802,PRON
803,PART
804,VERB
805,NOUN
806,NUM
807,NOUN
808,ADJ
809,ADP
810,ADP
811,PROPN
812,ADJ
813,ADJ
814,PUNCT
815,NOUN
816,NOUN
817,ADJ
818,ADJ
819,PUNCT
820,PUNCT
821,PART
822,DET
823,NOUN
824,NOUN
825,VERB
826,NOUN
827,ADP
828,NOUN
829,NOUN
830,ADP
831,PRON
832,NOUN
833,CCONJ
834,NOUN
835,ADP
836,NOUN
837,PRON
838,PUNCT
839,PART
840,VERB
841,NOUN
842,ADP
843,ADV
844,PART
845,DET
846,NOUN
847,PUNCT
848,ADP
849,NOUN
850,NOUN
851,PUNCT
852,PART
853,VERB
854,PROPN
855,PRON
856,ADV
857,NOUN
858,ADP
859,NOUN
860,ADJ
861,ADJ
862,PUNCT
863,ADP
864,NOUN
865,ADJ
866,CCONJ
867,NOUN
868,ADJ
869,PUNCT
870,PART
871,ADP
872,NOUN
873,PROPN
874,ADP
875,AUX
876,ADJ
877,NOUN
878,ADP
879,NOUN
880,NOUN
881,ADP
882,NOUN
883,ADP
884,NOUN
885,ADJ
886,PUNCT
887,VERB
888,PRON
889,NOUN
890,NOUN
891,ADP
892,PROPN
893,ADP
894,VERB
895,NOUN
896,PRON
897,ADP
898,NOUN
899,NOUN
900,ADJ
901,ADP
902,NOUN
903,ADJ
904,PUNCT
905,VERB
906,PROPN
907,PROPN
908,PUNCT
909,NOUN
910,NOUN
911,PUNCT
912,PROPN
913,PROPN
914,PUNCT
915,ADP
916,NOUN
917,VERB
918,ADP
919,PRON
920,NOUN
921,NOUN
922,NOUN
923,PUNCT
924,ADV
925,ADP
926,NOUN
927,PUNCT
928,VERB
929,NOUN
930,NOUN
931,ADP
932,NOUN
933,PUNCT
934,ADP
935,NOUN
936,ADP
937,PUNCT
938,NOUN
939,ADJ
940,PUNCT
941,PRON
942,NOUN
943,NUM
944,PROPN
945,ADJ
946,PART
947,PRON
948,VERB
949,NOUN
950,NOUN
951,ADJ
952,ADV
953,ADP
954,PROPN
955,PUNCT
956,CCONJ
957,PUNCT
958,PROPN
959,PUNCT
960,CCONJ
961,PUNCT
962,PROPN
963,PUNCT
964,CCONJ
965,PART
966,PRON
967,PUNCT
968,VERB
969,NOUN
970,SCONJ
971,NOUN
972,ADJ
973,ADP
974,NOUN
975,AUX
976,VERB
977,ADP
978,NOUN
979,NOUN
980,PUNCT
981,VERB
982,NOUN
983,PROPN
984,ADJ
985,ADP
986,NOUN
987,ADJ
988,ADP
989,NOUN
990,ADP
991,NOUN
992,NOUN
993,SCONJ
994,PRON
995,ADJ
996,ADP
997,NOUN
998,ADJ
999,ADP
1000,NOUN
1001,ADP
1002,NOUN
1003,NOUN
1004,NOUN
1005,ADP
1006,NOUN
1007,ADJ
1008,ADP
1009,NOUN
1010,ADJ
1011,PUNCT
1012,VERB
1013,NOUN
1014,ADP
1015,NOUN
1016,SCONJ
1017,PRON
1018,PART
1019,NOUN
1020,ADP
1021,NOUN
1022,VERB
1023,NOUN
1024,ADP
1025,NOUN
1026,ADP
1027,NOUN
1028,NOUN
1029,NOUN
1030,NOUN
1031,PROPN
1032,ADP
1033,NOUN
1034,PUNCT
1035,VERB
1036,PROPN
1037,PROPN
1038,PUNCT
1039,NOUN
1040,NOUN
1041,PROPN
1042,ADJ
1043,ADP
1044,PROPN
1045,PUNCT
1046,PUNCT
1047,PRON
1048,VERB
1049,ADP
1050,NOUN
1051,ADJ
1052,PUNCT
1053,NOUN
1054,PROPN
1055,PART
1056,VERB
1057,ADP
1058,NOUN
1059,ADJ
1060,PUNCT
1061,ADP
1062,SCONJ
1063,NOUN
1064,PROPN
1065,PART
1066,VERB
1067,ADP
1068,NOUN
1069,NOUN
1070,NOUN
1071,ADJ
1072,NOUN
1073,PUNCT
1074,PUNCT
1075,VERB
1076,NOUN
1077,ADP
1078,PRON
1079,NOUN
1080,VERB
1081,ADP
1082,NOUN
1083,NUM
1084,SYM
1085,ADV
1086,NUM
1087,ADP
1088,VERB
1089,NUM
1090,NUM
1091,NOUN
1092,ADJ
1093,PUNCT
1094,ADP
1095,NOUN
1096,SCONJ
1097,PRON
1098,VERB
1099,ADP
1100,PROPN
1101,PROPN
1102,PUNCT
1103,ADP
1104,NOUN
1105,PRON
1106,ADP
1107,NOUN
1108,ADJ
1109,ADJ
1110,DET
1111,NOUN
1112,ADP
1113,NOUN
1114,NOUN
1115,ADP
1116,NOUN
1117,ADP
1118,NOUN
1119,NOUN
1120,CCONJ
1121,NOUN
1122,ADJ
1123,PUNCT
1124,VERB
1125,ADP
1126,NOUN
1127,ADJ
1128,PART
1129,ADP
1130,NOUN
1131,PROPN
1132,CCONJ
1133,PROPN
1134,PUNCT
1135,PART
1136,VERB
1137,PRON
1138,NOUN
1139,ADJ
1140,ADP
1141,NOUN
1142,NOUN
1143,ADJ
1144,PRON
1145,VERB
1146,NOUN
1147,NOUN
1148,CCONJ
1149,PROPN
1150,NOUN
1151,ADP
1152,NOUN
1153,ADJ
1154,SYM
1155,PART
1156,NOUN
1157,ADV
1158,SYM
1159,VERB
1160,PUNCT
1161,ADP
1162,NOUN
1163,ADP
1164,PRON
1165,NOUN
1166,ADJ
1167,ADJ
1168,ADP
1169,NOUN
1170,NOUN
1171,PUNCT
1172,ADV
1173,NUM
1174,SYM
1175,ADP
1176,NOUN
1177,PRON
1178,VERB
1179,ADP
1180,NOUN
1181,ADJ
1182,AUX
1183,ADJ
1184,ADP
1185,NUM
1186,NOUN
1187,PUNCT
1188,CCONJ
1189,PRON
1190,NOUN
1191,ADJ
1192,ADV
1193,ADP
1194,NOUN
1195,PRON
1196,VERB
1197,ADP
1198,NOUN
1199,ADJ
1200,PART
1201,PRON
1202,VERB
1203,NUM
1204,SYM
1205,PUNCT
1206,VERB
1207,NOUN
1208,NOUN
1209,ADP
1210,PRON
1211,NOUN
1212,NOUN
1213,ADJ
1214,ADP
1215,SCONJ
1216,PRON
1217,VERB
1218,NOUN
1219,NOUN
1220,ADJ
1221,CCONJ
1222,NOUN
1223,PRON
1224,ADP
1225,NOUN
1226,ADJ
1227,ADJ
1228,ADP
1229,NOUN
1230,NUM
1231,NOUN
1232,ADP
1233,ADP
1234,ADP
1235,VERB
1236,ADP
1237,PRON
1238,DET
1239,NOUN
1240,ADJ
1241,ADP
1242,NOUN
1243,PRON
1244,ADP
1245,NOUN
1246,CCONJ
1247,NOUN
1248,ADP
1249,NOUN
1250,PUNCT
1251,VERB
1252,PROPN
1253,ADJ
1254,ADP
1255,PROPN
1256,NOUN
1257,VERB
1258,ADP
1259,ADP
1260,NOUN
1261,CCONJ
1262,NOUN
1263,VERB
1264,ADP
1265,NOUN
1266,PUNCT
1267,PART
1268,VERB
1269,PUNCT
1270,PUNCT
1271,PART
1272,VERB
1273,NOUN
1274,NOUN
1275,ADJ
1276,ADP
1277,NOUN
1278,NOUN
1279,CCONJ
1280,NOUN
1281,NOUN
1282,ADP
1283,NOUN
1284,NOUN
1285,ADJ
1286,PUNCT
1287,PUNCT
1288,PART
1289,VERB
1290,PROPN
1291,PUNCT
1292,PUNCT
1293,ADV
1294,PART
1295,VERB
1296,ADP
1297,PROPN
1298,NOUN
1299,NOUN
1300,ADP
1301,NOUN
1302,ADJ
1303,ADP
1304,NOUN
1305,DET
1306,NOUN
1307,ADP
1308,NOUN
1309,ADJ
1310,PUNCT
1311,PUNCT
1312,VERB
1313,PROPN
1314,PUNCT
1315,PUNCT
1316,ADP
1317,NOUN
1318,NOUN
1319,PUNCT
1320,AUX
1321,ADP
1322,NOUN
1323,NOUN
1324,ADV
1325,NOUN
1326,ADJ
1327,PUNCT
1328,PUNCT
1329,PART
1330,VERB
1331,NOUN
1332,PUNCT
1333,PUNCT
1334,VERB
1335,ADV
1336,NOUN
1337,ADP
1338,NOUN
1339,NOUN
1340,ADJ
1341,PUNCT
1342,PUNCT
1343,PART
1344,PART
1345,VERB
1346,NOUN
1347,NOUN
1348,PROPN
1349,NOUN
1350,PART
1351,ADJ
1352,ADP
1353,PRON
1354,PUNCT
1355,PRON
1356,VERB
1357,PUNCT
1358,NOUN
1359,ADP
1360,NOUN
1361,ADP
1362,NOUN
1363,ADJ
1364,VERB
1365,ADP
1366,NOUN
1367,NOUN
1368,ADJ
1369,PUNCT
1370,VERB
1371,PRON
1372,ADP
1373,PRON
1374,ADP
1375,AUX
1376,VERB
1377,NOUN
1378,PRON
1379,PART
1380,VERB
1381,NOUN
1382,ADP
1383,NOUN
1384,ADP
1385,NOUN
1386,PROPN
1387,PUNCT
1388,PART
1389,VERB
1390,ADP
1391,NOUN
1392,SCONJ
1393,VERB
1394,ADP
1395,NOUN
1396,PUNCT
1397,VERB
1398,PROPN
1399,PUNCT
1400,PUNCT
1401,ADP
1402,NOUN
1403,NOUN
1404,PUNCT
1405,VERB
1406,DET
1407,PRON
1408,ADP
1409,PROPN
1410,PROPN
1411,PUNCT
1412,PUNCT
1413,ADP
1414,NOUN
1415,PUNCT
1416,PART
1417,VERB
1418,PRON
1419,PUNCT
1420,PUNCT
1421,PUNCT
1422,PUNCT
1423,VERB
1424,PROPN
1425,NOUN
1426,NOUN
1427,ADP
1428,VERB
1429,NOUN
1430,PROPN
1431,ADP
1432,DET
1433,NOUN
1434,PROPN
1435,ADP
1436,VERB
1437,PRON
1438,ADV
1439,NUM
1440,ADP
1441,NOUN
1442,ADV
1443,PUNCT
1444,NOUN
1445,PROPN
1446,ADJ
1447,PUNCT
1448,CCONJ
1449,PART
1450,VERB
1451,ADP
1452,NOUN
1453,ADV
1454,ADP
1455,NOUN
1456,NOUN
1457,PUNCT
1458,VERB
1459,PROPN
1460,PRON
1461,AUX
1462,NOUN
1463,PRON
1464,ADP
1465,NOUN
1466,PROPN
1467,ADP
1468,ADJ
1469,NOUN
1470,PROPN
1471,ADP
1472,NOUN
1473,ADJ
1474,ADP
1475,PROPN
1476,ADP
1477,NOUN
1478,ADJ
1479,PUNCT
1480,CCONJ
1481,VERB
1482,PROPN
1483,CCONJ
1484,PROPN
1485,ADP
1486,PROPN
1487,ADJ
1488,PUNCT
1489,VERB
1490,PROPN
1491,ADP
1492,NOUN
1493,ADJ
1494,ADP
1495,PRON
1496,NOUN
1497,ADP
1498,NOUN
1499,ADJ
1500,ADP
1501,ADP
1502,VERB
1503,PROPN
1504,NOUN
1505,NOUN
1506,ADJ
1507,ADP
1508,NOUN
1509,PROPN
1510,PUNCT
1511,PART
1512,VERB
1513,PROPN
1514,ADP
1515,NOUN
1516,NOUN
1517,ADP
1518,NOUN
1519,PROPN
1520,PROPN
1521,SCONJ
1522,PRON
1523,VERB
1524,PUNCT
1525,NOUN
1526,ADP
1527,NOUN
1528,PUNCT
1529,NOUN
1530,PRON
1531,NOUN
1532,PUNCT
1533,ADP
1534,PART
1535,VERB
1536,NOUN
1537,PUNCT
1538,VERB
1539,SCONJ
1540,PROPN
1541,PUNCT
1542,PRON
1543,VERB
1544,NOUN
1545,PRON
1546,ADJ
1547,PUNCT
1548,PROPN
1549,PUNCT
1550,ADP
1551,DET
1552,NOUN
1553,PROPN
1554,PUNCT
1555,PART
1556,VERB
1557,ADP
1558,NOUN
1559,NOUN
1560,ADV
1561,NOUN
1562,PUNCT
1563,ADP
1564,ADP
1565,NOUN
1566,NOUN
1567,NOUN
1568,PART
1569,NOUN
1570,VERB
1571,ADP
1572,VERB
1573,PUNCT
1574,NOUN
1575,ADJ
1576,ADP
1577,NOUN
1578,PUNCT
1579,VERB
1580,ADP
1581,NOUN
1582,PRON
1583,ADP
1584,SCONJ
1585,PRON
1586,ADP
1587,NOUN
1588,ADJ
1589,PUNCT
1590,ADP
1591,NOUN
1592,NOUN
1593,ADV
1594,PROPN
1595,PUNCT
1596,VERB
1597,NOUN
1598,NOUN
1599,NOUN
1600,NOUN
1601,NOUN
1602,ADJ
1603,ADJ
1604,ADP
1605,NOUN
1606,ADP
1607,ADV
1608,NUM
1609,NOUN
1610,PUNCT
1611,PART
1612,VERB
1613,PUNCT
1614,PUNCT
1615,ADP
1616,PRON
1617,NOUN
1618,ADJ
1619,ADP
1620,NOUN
1621,ADJ
1622,ADP
1623,NOUN
1624,ADP
1625,NOUN
1626,ADJ
1627,ADP
1628,NOUN
1629,NOUN
1630,ADJ
1631,ADJ
1632,ADP
1633,NOUN
1634,PUNCT
1635,PART
1636,PART
1637,ADV
1638,NOUN
1639,ADP
1640,NOUN
1641,PROPN
1642,ADJ
1643,ADP
1644,PRON
1645,VERB
1646,NOUN
1647,ADJ
1648,ADJ
1649,CCONJ
1650,VERB
1651,DET
1652,NOUN
1653,ADJ
1654,PUNCT
1655,VERB
1656,NOUN
1657,SCONJ
1658,NOUN
1659,NOUN
1660,ADJ
1661,ADJ
1662,ADJ
1663,NOUN
1664,ADJ
1665,ADP
1666,NOUN
1667,PART
1668,VERB
1669,ADP
1670,NOUN
1671,NOUN
1672,ADJ
1673,ADP
1674,NOUN
1675,ADJ
1676,ADP
1677,NOUN
1678,PUNCT
1679,PART
1680,VERB
1681,NOUN
1682,NOUN
1683,NOUN
1684,ADJ
1685,ADP
1686,NOUN
1687,NOUN
1688,PRON
1689,VERB
1690,PRON
1691,NOUN
1692,ADP
1693,NOUN
1694,PRON
1695,CCONJ
1696,NOUN
1697,NOUN
1698,PRON
1699,VERB
1700,NOUN
1701,ADJ
1702,ADJ
1703,ADJ
1704,NOUN
1705,ADJ
1706,ADP
1707,NOUN
1708,PUNCT
1709,PART
1710,ADP
1711,PRON
1712,PUNCT
1713,PART
1714,VERB
1715,ADP
1716,NOUN
1717,ADP
1718,NOUN
1719,NOUN
1720,ADP
1721,NOUN
1722,ADP
1723,NOUN
1724,PUNCT
1725,PART
1726,PRON
1727,PART
1728,VERB
1729,ADP
1730,NOUN
1731,ADJ
1732,PUNCT
1733,VERB
1734,NOUN
1735,PROPN
1736,NOUN
1737,ADP
1738,PROPN
1739,PROPN
1740,CCONJ
1741,PROPN
1742,ADP
1743,PROPN
1744,PUNCT
1745,PART
1746,NOUN
1747,VERB
1748,SCONJ
1749,NOUN
1750,ADP
1751,NOUN
1752,NOUN
1753,PROPN
1754,ADJ
1755,VERB
1756,PUNCT
1757,ADP
1758,VERB
1759,ADP
1760,PRON
1761,ADP
1762,VERB
1763,NOUN
1764,PUNCT
1765,ADP
1766,PART
1767,VERB
1768,PROPN
1769,NOUN
1770,PUNCT
1771,PART
1772,VERB
1773,ADP
1774,NOUN
1775,ADV
1776,NOUN
1777,ADP
1778,PRON
1779,ADP
1780,NOUN
1781,NOUN
1782,NOUN
1783,ADJ
1784,ADV
1785,VERB
1786,ADP
1787,NOUN
1788,SCONJ
1789,NOUN
1790,CCONJ
1791,NOUN
1792,ADJ
1793,ADJ
1794,ADP
1795,PROPN
1796,PUNCT
1797,PART
1798,PART
1799,VERB
1800,PROPN
1801,PRON
1802,NOUN
1803,ADP
1804,NOUN
1805,ADJ
1806,CCONJ
1807,NUM
1808,ADP
1809,PROPN
1810,ADJ
1811,ADP
1812,NOUN
1813,NOUN
1814,ADP
1815,PRON
1816,PART
1817,VERB
1818,PUNCT
1819,ADP
1820,NOUN
1821,ADP
1822,NOUN
1823,NOUN
1824,PRON
1825,ADV
1826,PUNCT
1827,VERB
1828,NOUN
1829,PROPN
1830,PROPN
1831,SCONJ
1832,ADP
1833,PRON
1834,NOUN
1835,ADJ
1836,ADP
1837,ADP
1838,PRON
1839,NOUN
1840,ADP
1841,NOUN
1842,NOUN
1843,ADJ
1844,VERB
1845,ADP
1846,NOUN
1847,NOUN
1848,ADJ
1849,ADP
1850,NOUN
1851,ADP
1852,NOUN
1853,PRON
1854,NOUN
1855,PROPN
1856,ADJ
1857,PUNCT
1858,VERB
1859,NOUN
1860,PROPN
1861,PROPN
1862,ADP
1863,NOUN
1864,ADJ
1865,SCONJ
1866,PRON
1867,PART
1868,VERB
1869,SCONJ
1870,ADP
1871,PROPN
1872,NOUN
1873,ADJ
1874,CCONJ
1875,VERB
1876,NOUN
1877,ADJ
1878,ADP
1879,NOUN
1880,NOUN
1881,PRON
1882,ADP
1883,NOUN
1884,ADJ
1885,PUNCT
1886,VERB
1887,PUNCT
1888,PUNCT
1889,PART
1890,VERB
1891,SCONJ
1892,ADP
1893,NOUN
1894,ADP
1895,PRON
1896,NOUN
1897,ADP
1898,PRON
1899,NOUN
1900,CCONJ
1901,ADP
1902,NOUN
1903,CCONJ
1904,ADP
1905,NOUN
1906,PROPN
1907,ADP
1908,NOUN
1909,PUNCT
1910,PUNCT
1911,VERB
1912,ADV
1913,SCONJ
1914,PROPN
1915,AUX
1916,ADJ
1917,CCONJ
1918,PART
1919,ADJ
1920,CCONJ
1921,PART
1922,NOUN
1923,ADP
1924,ADP
1925,VERB
1926,ADP
1927,NOUN
1928,PRON
1929,ADJ
1930,ADP
1931,NOUN
1932,ADP
1933,NOUN
1934,NOUN
1935,NOUN
1936,PRON
1937,PUNCT
1938,VERB
1939,NOUN
1940,PRON
1941,VERB
1942,NOUN
1943,NOUN
1944,ADP
1945,PROPN
1946,SCONJ
1947,ADV
1948,NOUN
